@relation nba_no_ws
@attribute stats.totals.pts.value integer
@attribute stats.totals.ast.value integer
@attribute stats.totals.trb.value integer
@attribute stats.per_game.pts_per_g.value real
@attribute stats.per_game.ast_per_g.value real
@attribute stats.per_game.trb_per_g.value real
@attribute stats.advanced.per.value real
@attribute honors.allstar_appearances integer
@attribute honors.championships integer
@attribute honors.mvpshares integer
@attribute hall_of_fame {True, False}
@data
13422,1939,2446,22.7,3.3,4.1,19.9,5,0,0.154,True
1201,109,981,7.7,0.7,6.3,16.3,0,0,0,False
3425,513,2051,8.2,1.2,4.9,12.0,0,0,0,False
3898,691,2707,8.9,1.6,6.2,13.1,0,0,0,False
6154,1300,1457,9.5,2.0,2.2,14.2,0,0,0,False
2113,436,527,9.4,1.9,2.4,12.6,0,0,0,False
5730,937,3417,9.8,1.6,5.9,13.0,0,0,0,False
578,110,264,4.8,0.9,2.2,8.5,0,0,0,False
2997,1594,610,9.6,5.1,2.0,12.2,0,0,0,False
1012,221,1324,2.8,0.6,3.7,10.5,0,1,0,False
835,114,648,3.9,0.5,3.0,10.2,0,0,0,False
1210,930,396,3.8,2.9,1.2,12.4,0,0,0,False
1244,310,531,5.5,1.4,2.4,8.2,0,0,0,False
16320,2791,4708,17.6,3.0,5.1,17.7,7,3,0.009,True
15635,5939,3221,15.7,6.0,3.2,19.5,1,3,0.003,False
3129,514,652,21.9,3.6,4.6,18.0,1,0,0,False
1781,524,511,5.1,1.5,1.5,10.6,0,1,0,False
4214,817,2610,9.1,1.8,5.6,14.0,0,0,0,False
2177,852,500,7.4,2.9,1.7,10.6,0,0,0,False
7357,2083,1988,12.0,3.4,3.2,15.3,0,1,0,False
7094,1053,4757,10.0,1.5,6.7,13.4,0,0,0,False
4658,462,2444,11.2,1.1,5.9,14.5,0,0,0,False
1481,555,533,5.8,2.2,2.1,9.7,0,0,0,False
2847,675,1190,9.8,2.3,4.1,11.0,0,0,0,False
2216,307,2144,5.4,0.7,5.2,11.3,0,0,0,False
863,95,685,4.4,0.5,3.5,10.9,0,0,0,False
873,177,289,5.7,1.2,1.9,9.2,0,0,0,False
4458,1677,619,11.9,4.5,1.6,12.8,0,0,0,False
5820,2248,1308,9.5,3.7,2.1,13.8,0,0,0,False
1442,1243,370,4.2,3.6,1.1,11.4,0,0,0,False
1779,384,1011,5.6,1.2,3.2,12.9,0,0,0,False
3148,1420,1173,4.8,2.2,1.8,10.3,0,3,0,False
938,201,219,4.5,1.0,1.1,10.6,0,0,0,False
5085,1693,1501,8.6,2.9,2.5,10.7,0,1,0.002,False
1619,353,791,8.4,1.8,4.1,14.1,0,0,0,False
538,303,155,3.5,2.0,1.0,9.5,0,0,0,False
728,152,235,5.8,1.2,1.9,10.2,0,1,0,False
2012,266,1273,7.2,1.0,4.6,11.9,0,0,0,False
964,109,573,4.1,0.5,2.4,9.7,0,1,0,False
2193,303,1320,7.2,1.0,4.4,10.7,0,1,0,False
1837,228,772,6.2,0.8,2.6,8.9,0,0,0,False
8733,917,4432,12.0,1.3,6.1,15.8,0,0,0,False
1061,236,568,6.0,1.3,3.2,8.3,0,0,0,False
1491,175,735,5.1,0.6,2.5,11.1,0,0,0,False
